Temperature (degC), Heater (%), error
5.083088954056695741e+01,8.714234956716021330e+00,-8.308895405669574075e-01
5.034213098729227909e+01,2.335079845309739710e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.815092075602438726e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.333019530644963169e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.352498747433443427e+01,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.985337243401760077e+01,4.268437307099145528e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.331963308139496149e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.334919671951715969e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.337804677992138025e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.357189254302029724e+01,-3.421309872922790873e-01
