Time,Q1,T1
8.200000000000000000e+01,1.785000000000000000e+02,4.496578690127077493e+01
8.300000000000000000e+01,1.785000000000000000e+02,4.545454545454545325e+01
8.400000000000000000e+01,1.785000000000000000e+02,4.594330400782013868e+01
8.500000000000000000e+01,1.785000000000000000e+02,4.643206256109481700e+01
8.600000000000000000e+01,1.785000000000000000e+02,4.692082111436950242e+01
8.700000000000000000e+01,1.785000000000000000e+02,4.692082111436950242e+01
8.800000000000000000e+01,1.785000000000000000e+02,4.740957966764418785e+01
8.900000000000000000e+01,1.785000000000000000e+02,4.740957966764418785e+01
9.000000000000000000e+01,1.785000000000000000e+02,4.838709677419355160e+01
9.100000000000000000e+01,1.785000000000000000e+02,4.887585532746822992e+01
9.200000000000000000e+01,1.785000000000000000e+02,4.887585532746822992e+01
9.300000000000000000e+01,1.785000000000000000e+02,4.838709677419355160e+01
9.400000000000000000e+01,1.785000000000000000e+02,4.887585532746822992e+01
9.500000000000000000e+01,1.785000000000000000e+02,5.034213098729227909e+01
9.600000000000000000e+01,1.785000000000000000e+02,4.985337243401760077e+01
9.700000000000000000e+01,1.785000000000000000e+02,5.083088954056695741e+01
9.800000000000000000e+01,1.785000000000000000e+02,5.083088954056695741e+01
9.900000000000000000e+01,1.785000000000000000e+02,5.131964809384164994e+01
1.000000000000000000e+02,1.785000000000000000e+02,5.131964809384164994e+01
1.010000000000000000e+02,1.785000000000000000e+02,5.229716520039100658e+01
1.020000000000000000e+02,1.785000000000000000e+02,5.229716520039100658e+01
1.030000000000000000e+02,1.785000000000000000e+02,5.376344086021505575e+01
1.040000000000000000e+02,1.785000000000000000e+02,5.278592375366569200e+01
1.050000000000000000e+02,1.785000000000000000e+02,5.376344086021505575e+01
1.060000000000000000e+02,1.785000000000000000e+02,5.376344086021505575e+01
1.070000000000000000e+02,1.785000000000000000e+02,5.376344086021505575e+01
1.080000000000000000e+02,1.785000000000000000e+02,5.327468230694037032e+01
1.090000000000000000e+02,1.785000000000000000e+02,5.327468230694037032e+01
1.100000000000000000e+02,1.785000000000000000e+02,5.474095796676441239e+01
1.110000000000000000e+02,1.785000000000000000e+02,5.571847507331379035e+01
1.120000000000000000e+02,1.785000000000000000e+02,5.571847507331379035e+01
1.130000000000000000e+02,1.785000000000000000e+02,5.474095796676441239e+01
1.140000000000000000e+02,1.785000000000000000e+02,5.669599217986315409e+01
1.150000000000000000e+02,1.785000000000000000e+02,5.669599217986315409e+01
